Partlist

Exported from board.brd at 2024/04/23 14:08

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                                 Package                        Library                                    Position (mm)         Orientation

C1       0.1u                                                  C0402K                         rcl                                        (43.18 9.525)         R270
C2       0.1u                                                  C0402K                         rcl                                        (26.67 9.525)         R270
C3       0.1u                                                  C0402K                         rcl                                        (25.8064 34.8234)     R270
C4       0.1u                                                  C0402K                         rcl                                        (36.83 13.0175)       R90
C5       0.1u                                                  C0402K                         rcl                                        (26.67 25.4)          R180
C6       1u                                                    C0402K                         rcl                                        (27.94 30.48)         R180
C7       1u                                                    C0402K                         rcl                                        (25.4 30.48)          R0
C8       560p                                                  C0402K                         rcl                                        (34.29 8.89)          R180
C9       22u                                                   C0805                          rcl                                        (33.9725 10.795)      R180
C10      560p                                                  C0402K                         rcl                                        (33.6296 21.209)      R180
C11      22u                                                   C0805                          rcl                                        (33.3375 19.6375)     R180
C12      1000p                                                 C0402K                         rcl                                        (21.082 7.62)         R180
C13      1000p                                                 C0402K                         rcl                                        (21.082 8.8138)       R0
C14      150p                                                  C0402K                         rcl                                        (21.082 9.906)        R180
C15      1000p                                                 C0402K                         rcl                                        (22.225 22.86)        R180
C16      1000p                                                 C0402K                         rcl                                        (22.225 21.59)        R0
C17      150p                                                  C0402K                         rcl                                        (22.225 20.32)        R180
C18      560p                                                  C0402K                         rcl                                        (22.8346 34.925)      R270
C19      1000p                                                 C0402K                         rcl                                        (29.845 33.02)        R0
C20      1000p                                                 C0402K                         rcl                                        (29.845 34.29)        R180
C21      150p                                                  C0402K                         rcl                                        (29.845 35.56)        R0
C22      0.1u                                                  C0402K                         rcl                                        (21.59 26.67)         R0
C23      1u                                                    C0402K                         rcl                                        (31.665959375 40.026125) R90
C24      0.1u                                                  C0402K                         rcl                                        (40.64 31.75)         R270
C25      220p                                                  C0402K                         rcl                                        (36.83 31.75)         R270
C26      220p                                                  C0402K                         rcl                                        (35.56 31.75)         R270
C27      560p                                                  C0402K                         rcl                                        (39.37 22.86)         R180
C28      10000p                                                C0402K                         rcl                                        (29.21 48.26)         R0
C29      10000p                                                C0402K                         rcl                                        (26.67 48.26)         R180
C30      5p                                                    C0402K                         rcl                                        (10.795 3.81)         R270
C31      5p                                                    C0402K                         rcl                                        (4.445 3.81)          R270
C32      4.7u                                                  C0402K                         rcl                                        (24.9174 34.8234)     R270
C33      10u                                                   C0402K                         rcl                                        (25.7302 9.525)       R270
C34      10u                                                   C0402K                         rcl                                        (42.037 9.4996)       R270
C35      10u                                                   C0402K                         rcl                                        (37.8714 13.0302)     R90
C36      0.1u                                                  C0402K                         rcl                                        (20.193 43.053)       R90
D1                                                             SOD123                         diode                                      (15.7734 6.0198)      R180
D2                                                             SOD123                         diode                                      (32.4612 4.572)       R0
D3                                                             SOD123                         diode                                      (15.748 2.286)        R0
IC1      ADA4891-4                                             SO14                           analog-devices                             (43.18 15.24)         R0
IC2      ADA4891-4                                             SO14                           analog-devices                             (25.4 15.24)          R0
IC3      AD8040ARZ                                             SO14                           analog-devices                             (25.4 40.64)          R0
IC4      ADG721"                                               MSOP8                          ADG721                                     (34.29 15.24)         R180
IC5      OPA551                                                TO127P1435X464-8N              OPA551                                     (37.930990625 41.6002) R0
IC6      REF2033AIDDCT                                         SOT95P280X110-5N               REF2033AIDDCT                              (26.67 27.94)         R0
J1       629105150521                                          629105150521                   Wurth_Connectors_WR-USB-DrillSize-Modified (48.35 52.25)         R180
J2       MKDSN1,5/3-5,08                                       MKDSN1,5/3-5,08                con-phoenix-508                            (73.36535 6.8578125)  R0
Q1       MJE15030                                              TO220AV                        transistor-power                           (67.8004 24.8522)     MR90
Q2       MJE15031                                              TO220AV                        transistor-power                           (78.1488 24.8896)     MR270
R1       100k                                                  R0402                          rcl                                        (40.64 9.4742)        R90
R2       100k                                                  R0402                          rcl                                        (37.719 10.16)        R180
R3       1k                                                    R0402                          rcl                                        (37.719 8.8138)       R0
R4       100k                                                  R0402                          rcl                                        (47.625 8.89)         R180
R5       100k                                                  R0402                          rcl                                        (47.625 10.16)        R0
R6       100k                                                  R0402                          rcl                                        (45.085 8.89)         R180
R7       100k                                                  R0402                          rcl                                        (45.085 10.16)        R180
R8       10k                                                   R0402                          rcl                                        (46.99 21.59)         R0
R9       10k                                                   R0402                          rcl                                        (46.99 20.32)         R0
R10      10k                                                   R0402                          rcl                                        (44.45 21.59)         R180
R11      10k                                                   R0402                          rcl                                        (44.45 20.32)         R0
R12      2k                                                    R0402                          rcl                                        (41.91 23.495)        R0
R13      2k                                                    R0402                          rcl                                        (39.37 24.13)         R0
R14      10k                                                   R0402                          rcl                                        (39.37 21.59)         R0
R15      100k                                                  R0402                          rcl                                        (39.37 20.32)         R180
R16      10k                                                   R0402                          rcl                                        (41.275 20.955)       R270
R17      100k                                                  R0402                          rcl                                        (42.545 20.955)       R90
R18      1k                                                    R0402                          rcl                                        (36.83 20.32)         R0
R19      5.1k                                                  R0402                          rcl                                        (23.7998 7.5438)      R180
R20      16k                                                   R0402                          rcl                                        (23.7998 8.8392)      R180
R21      9.1k                                                  R0402                          rcl                                        (23.7998 10.0584)     R180
R22      10k                                                   R0402                          rcl                                        (28.575 8.89)         R180
R23      91k                                                   R0402                          rcl                                        (28.575 10.16)        R180
R24      10k                                                   R0402                          rcl                                        (26.67 20.955)        R270
R25      91k                                                   R0402                          rcl                                        (28.575 20.32)        R180
R26      5.1k                                                  R0402                          rcl                                        (24.765 22.86)        R180
R27      16k                                                   R0402                          rcl                                        (24.765 21.59)        R180
R28      9.1k                                                  R0402                          rcl                                        (24.765 20.32)        R180
R29      100k                                                  R0402                          rcl                                        (23.7998 34.9758)     R270
R30      200k                                                  R0402                          rcl                                        (21.11375 34.29)      R180
R31      100k                                                  R0402                          rcl                                        (21.11375 35.56)      R0
R32      5.1k                                                  R0402                          rcl                                        (27.686 33.02)        R0
R33      16k                                                   R0402                          rcl                                        (27.6606 34.29)       R0
R34      9.1k                                                  R0402                          rcl                                        (27.6606 35.5854)     R0
R35      1M                                                    R0402                          rcl                                        (29.21 45.72)         R180
R36      100k                                                  R0402                          rcl                                        (29.21 46.99)         R0
R37      1M                                                    R0402                          rcl                                        (26.67 45.72)         R0
R38      100k                                                  R0402                          rcl                                        (26.67 46.99)         R180
R39      10k                                                   R0402                          rcl                                        (21.59 46.99)         R0
R40      100k                                                  R0402                          rcl                                        (21.59 45.72)         R180
R41      10k                                                   R0402                          rcl                                        (24.13 46.99)         R180
R42      100k                                                  R0402                          rcl                                        (24.13 45.72)         R0
R43      1k                                                    R0402                          rcl                                        (21.59 27.94)         R0
R44      100k                                                  R0402                          rcl                                        (39.37 31.75)         R90
R45      100k                                                  R0402                          rcl                                        (38.1 31.75)          R270
R46      100k                                                  R0402                          rcl                                        (33.02 31.75)         R90
R47      100k                                                  R0402                          rcl                                        (34.29 31.75)         R270
R48      330k                                                  R0402                          rcl                                        (34.925 24.765)       R0
R49      1.2k                                                  R0402                          rcl                                        (31.5722 43.3832)     R90
R50      1.2k                                                  R0402                          rcl                                        (56.3084 23.469)      R270
R51      330k                                                  R0402                          rcl                                        (71.4375 44.1325)     R180
R52      200m                                                  R2512                          rcl                                        (64.278 35.179)       R180
R53      200m                                                  R2512                          rcl                                        (81.645 35.179)       R180
RS1      1R                                                    R2512                          rcl                                        (43.815 26.9875)      R180
RS2      50m                                                   R2512                          rcl                                        (73.025 35.8775)      R90
SJ1                                                            SJ                             jumper                                     (21.8275 38.7325)     MR180
SJ2                                                            SJ                             jumper                                     (51.7525 16.51)       R90
T1       RQ5A040ZP                                             SOT23                          RQ5A040ZP                                  (75.2475 42.545)      R270
T2       RQ5A040ZP                                             SOT23                          RQ5A040ZP                                  (70.8025 41.5925)     R90
T3       DTC023Y                                               SOT40P120X55-3N                DTC023Y                                    (73.5923375 46.42116875) R0
T4       RQ5A040ZP                                             SOT23                          RQ5A040ZP                                  (37.7825 26.9875)     R270
T5       RQ5A040ZP                                             SOT23                          RQ5A040ZP                                  (33.655 27.94)        R90
T6       DTC023Y                                               SOT40P120X55-3N                DTC023Y                                    (32.385 24.765)       R0
U1       NUCLEO-F303                                           NUCLEO-F303                    nucleo-F303                                (10.16 26.67)         R0
X1       NX3225GD-8MHZ-STD-CRA-3XTAL_NX3225GD-8MHZ-STD-CRA-3_N XTAL_NX3225GD-8MHZ-STD-CRA-3_N NX3255GD                                   (7.62 3.81)           R0
